category,title,excerpt,date,link,author,content,image
news,How fake news threatened my 40-year-old marriage -Lai Mohammed,"A former Minister of Information and National Orientation, Alhaji Lai Mohammed, has recounted how fake news circulated on social media nearly destroyed his 40-year-old marriage. The ex-minister shared...",23rd March 2024,https://punchng.com/how-fake-news-threatened-my-40-year-old-marriage-lai-mohammed/,Agency Report,"A former Minister of Information and National Orientation, Alhaji Lai Mohammed, has recounted how fake news circulated on social media nearly destroyed his 40-year-old marriage.
The ex-minister shared his story during an event in Lagos commemorating Prof. Wole Soyinka’s 90th birthday, where he discussed “The Media in the Age of Disinformation.” The text of Mohammed’s presentation was made available to the News Agency of Nigeria (NAN) on Saturday.
Mohammed, also serving as the Managing Partner of Bruit Costard, a lobbyist and public relations firm, reflected on one of the significant challenges he encountered during his tenure as minister: the rampant spread of fake news, misinformation, and disinformation.
Mohammed emphasized that fake news, disinformation, and misinformation nearly destroyed his marriage, highlighting their extensive consequences.  




He said, “Permit me to share publicly with you today for the first time, how social media threatened the foundation of my 40-year-old marriage.
“It was sometimes in 2018 when I came to Lagos from Abuja for an official assignment.
“As usual, I retire to bed about midnight, but about 3 am., my wife gently roused me from my slumber.
“At first, I panicked, fearing that there had been a security breach, but my wife’s mien belied that possibility, for she was calm and composed.”      
He continued: “Solemnly, my wife asked me if I was fully awake as there were some serious issues to discuss.
“I could not fathom what was that urgent or serious to warrant being woken up at this time of the night.
“My mind immediately did a kaleidoscope of my rascalities and escapades in the last few months”.
Mohammed said the accusation from his wife was “a bombshell” and was narrated to him in Yoruba language.
He presented the narration as follows:
“Daddy, death can come knocking at any moment, please let me also, as your wife, be a signatory to your overseas account in Ali Financial which contains 1.3 billion dollars.”
The ex-minister expressed disbelief that his wife fully believed the false story circulating about government officials, including himself, supposedly having large sums of money in overseas accounts during former President Muhammadu Buhari’s administration.
“I spent the next two hours or so, sweating to convince my wife that there is no iota of truth in the allegation.        
“I had to fetch a calculator and reproduce the Federal Appropriation Act for 2015, 2016, 2017 and 2018 in the middle of the night and explain to her why it is simply p
reposterous for me to have 1.3 billion dollars in a foreign account.
“I explained to her that there is no year my capital budget exceeded N5 billion, which then, at about N400 to a dollar, was just 12.5 million dollars.  Related News  Police vow to clamp down on persons spreading fake news  Ongoing police recruitment ss Free, PSC insists  FG budgets N138m to tackle fake news, print calendars   
“I explained that, even if I managed to divert every kobo of it to my personal account, it will take at least, 104 years to save the sum of 1.3 billion dollars being peddled that I stole,” he said.
Mohammed added: “My wife insisted that the whole world believed the story and that her friends had, as a result, besieged her with all kinds of requests.
“She said every effort on her part to deny the existence of this foreign account only succeeded in depicting her in the minds of her friends as a selfish, greedy and uncaring friend.
“Is my wife truly convinced of my innocence? The answer is in the wind!. “
Mohammed reiterated that social media remained the platforms of choice for the purveyors of fake news, anti-state groups, anarchists, secessionists, terrorists and bandits.
During his time in government, Mohammed remembered that his ministry uncovered 476 online publications solely dedicated to disseminating fake news against the previous administration of President Buhari.      
Mohammed specifically remembered the fake news claiming that the former president had passed away while undergoing treatment in a London hospital and had been replaced by a clone named “Jubril from Sudan.”
According to Mohammed, the problem of fake news persisted through the campaigns leading up to the 2023 general elections, during which President Bola Tinubu became a target. Videos and speeches attributed to him were manipulated and distorted to spread false information.
He mentioned that those spreading fake news were persistent in their attempts to undermine the commendable policies and programs of Tinubu’s administration.
Mohammed highlighted how fake news had grown drastically due to the use of Artificial Intelligence and deep learning techniques, enabling the creation of highly realistic fake or manipulated videos, audio recordings, or images.
“The consequences of disinformation and misinformation are far-reaching.
“They undermine democratic processes, sow discord within communities, and pose significant threats to public health and safety.
“Today, even the media is at risk of losing its credibility because of the proliferation of fake news on Social Media  
“Therefore, the media, as custodians of the public trust, must take decisive action to combat the scourge of disinformation and misinformation,” he said
Mohammed asserted that social media platforms and other intermediaries, accountable for amplifying disinformation and misinformation, should bear responsibility. He advocated for the implementation of robust regulatory frameworks to monitor and curb the spread of false information while preserving freedom of expression.
He urged social media platforms to prioritize the integrity of information above profit motives. Mohammed emphasized the importance of taking proactive measures to detect and remove harmful content from their platforms.",https://cdn.punchng.com/wp-content/uploads/2023/06/07090653/01-moh-1-e1686125213640.jpg
news,Gunmen abduct 10 travellers in Benue,"Ten people were reportedly kidnapped at the Taraba/Benue border community in Jootar, in the Ukum Local Government Area of Benue State on Friday. A source, who spoke on condition of anonymity, explaine...",23rd March 2024,https://punchng.com/gunmen-abduct-10-travellers-in-benue/,John Charles,"Ten people were reportedly kidnapped at the Taraba/Benue border community in Jootar, in the Ukum Local Government Area of Benue State on Friday.
A source, who spoke on condition of anonymity, explained that the driver of the ill-fated vehicle who escaped being kidnapped narrated the attack.
The source stated that the driver of the Sharon bus explained that he picked up the passengers at Takum junction in Wukari, Taraba State and that they were 10 in number.
He said, “He was to drop them (passengers) in Gboko where they ought to connect the vehicle to Akure.  




“They took his phone. He had to use somebody’s phone to call me as soon as the incident happened. He is somebody I know very well.
“The incident happened around noon on Friday. That is what he told me. He picked them up from Takum, and the incident happened just 2 km from there in Jootar, Ukum LGA.”  Related News  Imo gunmen kill two policemen, bomb patrol vehicle  Moscow concert hall attack death toll hits 93  Russia arrests concert hall gunmen as death toll hits 115   
The driver was said to have reported the case at the Jootar police station.      
When contacted, the lawmaker who represents Ukum State Constituency in the State Assembly, Ezra Nyiyongo, said he received such a report.
He said, “I was told that a vehicle was intercepted. According to what I heard since I am not the one who spoke with the driver, he said he picked those people from Wukari, Taraba State, and not in any school and was conveying them to Gboko.
“From Gboko, according to him, they were going to Akure for menial jobs. I am not quite sure. I am just reporting from the driver’s words. They were intercepted in Jootar in Ukum LGA.”
Meanwhile, the Chairman of the LG, Victor Iorzaa, said he could not confirm the incident, stating that both the council Divisional Police Officer nor the Chief Security Officer of the local government claimed not to have the report.
Also, the state Commissioner of Police, Emmanuel Adesina, said the command was not aware of the incident.",https://cdn.punchng.com/wp-content/uploads/2022/04/08123014/Gunmen.jpg
news,"Rich Nigerians guilty of hoarding dollar, says Osun monarch","The Oluwo of Owo, Oba Abdulrosheed Akanbi, has challenged wealthy Nigerians to demonstrate patriotism by selling dollars in their possession. Oba Akanbi who blamed the hike in the naira-dollar exchang...",23rd March 2024,https://punchng.com/rich-nigerians-guilty-of-hoarding-dollar-says-osun-monarch/,Bola Bamigbola,"The Oluwo of Owo, Oba Abdulrosheed Akanbi, has challenged wealthy Nigerians to demonstrate patriotism by selling dollars in their possession.
Oba Akanbi who blamed the hike in the naira-dollar exchange rate on the scarcity of the foreign currency in the market, alleged that Nigerians were hoarding the dollar to create artificial scarcity.
 
The monarch, in a statement signed by his press secretary, Alli Ibraheem, obtained in Osogbo on Saturday, also disclosed that the availability of the dollar in the market would reduce the exchange rate and ultimately checkmate inflation.  




He stated that those hoarding dollar are parts of people causing harm to the economy, declaring that “Most rich Nigerians are culpable”, and appealed to them to safeguard Nigeria’s economy by disposing of dollars in their possession.  Related News  FG dollar rain for Team Nigeria athletes  Buy made-in-Nigeria goods to strengthen naira, Tinubu urges Nigerians  Naira appreciates to N1,382/dollar, Presidency cautions speculators   
The statement further read, “I am appealing to Nigerians, most especially the wealthy individuals hoarding dollars to demonstrate patriotism by selling and converting foreign currency in their possession to naira.
“Dollar hoarders have created artificial scarcity, thus leading to high exchange rates and ultimately leading to inflation. Pumping the hoarded dollars into circulation will lubricate our economy and decimate the hardship on innocent masses.      
“As I speak, I have emptied my dollar account. We can only get there if we are ready to sacrifice by jettisoning selfish economic policies capable of suffocating our survival.
“Nigerians are equally enjoined to patronize made-in-Nigeria products. I have taken that lead among the traditional rulers.:",https://cdn.punchng.com/wp-content/uploads/2022/07/16125630/Oluwo-of-Iwoland-Oba-Abdulrosheed-Akanbi.jpg
news,"Beware of scammers posing as officers, NDLEA warns Nigerians","The National Drug Law Enforcement Agency has warned the public, particularly those with relatives abroad, about a new fraudulent scheme being orchestrated by impersonators posing as NDLEA officers. Th...",23rd March 2024,https://punchng.com/beware-of-scammers-posing-as-officers-ndlea-warns-nigerians/,Hannah Johnson,"The National Drug Law Enforcement Agency has warned the public, particularly those with relatives abroad, about a new fraudulent scheme being orchestrated by impersonators posing as NDLEA officers.
This was made known in a statement by the NDLEA’s Director of Media and Advocacy, Femi Babafemi, shared on the agency’s website on Saturday.
The statement said, “The National Drug Law Enforcement Agency wishes to alert members of the public especially those who have loved ones abroad to a new scheme by scammers who impersonate NDLEA officers and call unsuspecting citizens to inform them of the arrest of their relatives at the Murtala Muhammed International Airport Ikeja Lagos or any other international airport in Nigeria with illicit drugs upon arrival in the country.
 “After throwing the family members into panic, the scammers then make a demand of millions of naira to facilitate the release of such persons from NDLEA custody. We have thwarted a number of such bids in the past when the family members called the agency’s official contacts for help or clarification.  



  Related News  Man dies during NDLEA’s arrest of suspected drug dealer  NDLEA arrests 14 suspected drug dealers in Ekiti  NDLEA nabs hairdresser, dispatch rider selling drug-laced chin-chin   
“At the moment, there is one such scenario the agency has just investigated. In this case, the picture of a Nigerian man based in the US is being circulated with audio of a purported NDLEA officer negotiating the payment of N5 million with a female relative for the release of the US-based Nigerian man purportedly arrested at the Lagos airport on Friday 22nd March upon his arrival with a ‘contraband’
“Just like in previous instances, our investigation has also shown that the current incident is the work of scammers. No NDLEA officer is involved in the audio conversation and the person whose photo is attached to the audio recording being circulated is not in our custody at MMIA or any of our commands either as at yesterday or any other day.
“The family members involved in this case are advised not to part with their hard-earned money to scammers. Nigerians with loved ones abroad are also urged to keep discussions on travel plans of their relatives to themselves to avoid the hijack of such by criminal elements for devious schemes.      
”For those who may have a similar challenge, please feel free to seek help or clarification through any of our contact lines”",https://cdn.punchng.com/wp-content/uploads/2024/03/23144154/image_750x_65febdcb68cd8.jpg
news,"Naira bounces back, terrorism financiers unveiled, Delta bloodbath: Weekly news roundup","As the week comes to a close, PUNCH Online presents the nation’s top news stories. Naira staged a comeback as the Federal Government decided to disclose the list of individuals involved in financing...",23rd March 2024,https://punchng.com/naira-bounces-back-terrorism-financiers-unveiled-delta-bloodbath-weekly-news-roundup/,Okiki Adeduyite,"As the week comes to a close, PUNCH Online presents the nation’s top news stories.
Naira staged a comeback as the Federal Government decided to disclose the list of individuals involved in financing terrorism in the country.
Following the killing of soldiers in Okuama, Delta State, there have been debates and speculations surrounding a potential retaliatory attack.
Access Bank acquired the National Bank of Kenya, a significant development in the business sector that has been met with positive reception.  




Here are highlights from the week’s biggest news stories, from March 17 to March 23, 2024.
Naira recovers
Naira and Dollar
Naira showed resilience on Thursday, appreciating by N18 to close at 1,382/$ in the official market. This followed a significant gain at both the official and parallel markets the previous day, with the naira closing at N1,400/$ on Wednesday. The intraday high on Thursday reached N1,598/$, while the intraday low strengthened to N1,300/$. Increased dollar supply at the Nigerian Autonomous Foreign Exchange Market contributed to the naira’s 1.3 percent appreciation. The Central Bank of Nigeria’s successful resolution of foreign exchange backlogs, totalling $7 billion, further boosted confidence in the FX market.      
Additionally, Nigeria’s external reserves grew to $34.37 billion as of March 12, 2024, and Diaspora remittances surged by 433 per cent to $1.3 billion in February. Speculators were urged to sell off their dollar holdings, as the naira is expected to appreciate further amidst CBN interventions and clampdowns on illegal currency activities.
Terror financiers unveiled
The Nigerian Sanctions Committee, in compliance with a directive from the Federal Government, disclosed the identities of entities on Monday, March 18, allegedly linked to terrorism financing. Among the nine individuals sanctioned, Kaduna-based publisher Tukur Mamu, accused of aiding terrorists in the Abuja-Kaduna train attack, was prominently listed.
Also identified were individuals suspected of terrorist activities such as attacks on St. Francis Catholic Church in Owo, Ondo State, and the Kuje Correctional Centre in Abuja. Six Bureau De Change firms, including West and East Africa General Trading Company Limited and Desert Exchange Ventures Limited, were implicated. The sanctions follow revelations from the Nigerian Financial Intelligence Unit, urging immediate asset freezing and reporting obligations on designated persons and entities as per the Terrorism (Prevention and Prohibition) Act, 2022.
Access Bank expands footprint
Access Bank announced its acquisition of the National Bank of Kenya Limited from the KCB Group Plc, as part of its expansion strategy into key African markets.
        
The acquisition of NBK, a well-established bank in Kenya with a substantial balance sheet, presents a significant opportunity for Access Bank to strengthen its presence in the East African market. Upon completion of the transaction, NBK will merge with Access Bank Kenya Plc, creating an enlarged franchise. This acquisition aligns with Access Bank’s broader objective of becoming a leading player in the Kenyan and East African markets.
Nasarawa State University stampede  Related News  23 Niger Republic soldiers killed in terrorist ambush  Senate meets service chiefs over killing of soldiers in Delta  FULL NAMES: Mamu, 14 others, BDCs linked with terrorism financing   
Tragedy struck at Nasarawa State University, Keffi, as two female students lost their lives in a stampede during a palliative distribution event at the university’s convocation square. The state government had organised the distribution of bags of rice to alleviate students’ suffering, but chaos ensued as students stormed the venue, resulting in injuries to at least 10 others.
Nasarawa State University
The National President of the Nasarawa State Students Association, Yunusa Baduku, confirmed the incident, stating that many students were rushed to hospitals for medical attention.
Governor Abdullahi Sule expressed shock over the incident and ordered a thorough investigation to identify those responsible. The Vice-Chancellor of the university, Prof Suleiman Bala, also lamented the loss of lives and announced plans for investigations by both the university management and the state government.
This is the second stampede in a month. The Nigeria Customs Service had in February said it was selling seized food items at N10,000 per 25kg to alleviate the people’s suffering. A pregnant woman and six others died in the stampede at the Yaba Customs office compound, Lagos.
       
Labour rift: Union vs. Party
The Nigerian Labour Congress and the Labour Party have been involved in a dispute that has many Nigerians questioning the reason for the union and the opposition party’s disagreement. A former President of the NLC, Ayuba Wabba, asserted that the Labour Party was established by the NLC to serve as a platform for members to advocate for their rights.
Former NLC President, Ayuba Wabba
The NLC instructed its state councils and political commissions to picket LP secretariats nationwide following a virtual meeting. The NLC also protested at the LP’s national secretariat, demanding the removal of the National Chairman, Julius Abure, and opposing the LP’s planned national convention.
Wabba clarified that the LP was formed by the NLC and accused the party of not honouring a consent agreement signed in June 2022, leading to the dispute and picketing actions by the NLC.
This is still a developing story.
 
Army denies reprisals amid tension in Delta  
The Nigerian Army has denied engaging in reprisal attacks in the Okuama community of Delta State, where 17 military personnel were killed during a communal clash. The Army accused the community of spreading propaganda and stressed its commitment to apprehending the perpetrators.
Meanwhile, tension remains high in Okuama as military personnel continue to maintain a presence, with residents fleeing and houses reportedly being set ablaze. The Defence Headquarters released the names of the slain personnel and vowed to bring the perpetrators to justice while respecting human rights laws.
Meanwhile, soldiers reportedly invaded the Igbomotoru community in Bayelsa State, causing panic and destruction. Although it could not be ascertained if the soldiers’ mission was in connection with the killing of military personnel in neighbouring Delta State, a community source told PUNCH Online that they stormed Igbomotoru in five gunboats.",https://cdn.punchng.com/wp-content/uploads/2024/03/23135101/1_20240323_133928_0000.png
news,Suspected hoodlums attack Customs office in Kebbi,"Suspects believed to be hoodlums have reportedly attacked a Customs office in Yauri Local Government Area of Kebbi State.  The hoodlums were said to have injured an officer, while property was also d...",23rd March 2024,https://punchng.com/suspected-hoodlums-attack-customs-office-in-kebbi/,Animashaun Salman,"Suspects believed to be hoodlums have reportedly attacked a Customs office in Yauri Local Government Area of Kebbi State. 
The hoodlums were said to have injured an officer, while property was also damaged in the process.
This was according to a statement made available to newsmen by the spokesman for the command, Mohammed Salisu, on Saturday.
He said the incident occurred on Thursday after the officers intercepted some smuggled items in the area.  





The statement read, “During the late hours of Thursday, March 21, 2024, at about 2310 hours, the combined team of Yauri outstation and surveillance were informed of a suspected smuggling activity at Yauri Waterside. Upon arriving at the scene, 41 bags of foreign parboiled rice were seized, secured, and taken to the outstation.
“Afterwards, a mob attack was launched by the aggrieved smugglers by way of mobilising hoodlums to attack the outpost.        Related News  Amotekun arrests two suspected hoodlums in Osun schools  Kebbi approves N967m for students' school fees  Kebbi distributes over N12bn grains for Ramadan   
“Upon sighting the mob, the management contacted the command and other sister agencies for reinforcement, which helped in containing the situation.

 “Amid the attack, the OIC sustained a hand injury; 1 AK-47 rifle was carted away but retrieved shortly; and 29 out of 41 bags of the seized rice were taken away by the attackers.
“The mob went further to vandalise the OIC personal vehicle, the outstation Air Conditioner, chairs, tables, windows, doors, and other essentials put in place to support the operations of the outstation.”
He, however, assured that to subside and lower tension, the Kebbi State Governor, Dr Nasir Idris,  hosted the Customs Area Controller on the way forward, and normalcy has since been restored.
“The Customs Area Controller, Iheanacho Ojike, has been in touch with the Commissioner of Police, and so far, some arrests have been made and an investigation was launched in view of arresting and prosecuting the criminals,” he added",https://cdn.punchng.com/wp-content/uploads/2024/03/23134712/IMG-20240323-WA0030.jpg
news,NDDC to enhance aquaculture training in Bayelsa,"The Niger Delta Development Commission, says it will collaborate with the Bayelsa State Government and a private firm to train youths in aquaculture at the multi-million-naira Bayelsa Aquaculture Vill...",23rd March 2024,https://punchng.com/nddc-to-enhance-aquaculture-training-in-bayelsa/,Dennis Naku,"The Niger Delta Development Commission, says it will collaborate with the Bayelsa State Government and a private firm to train youths in aquaculture at the multi-million-naira Bayelsa Aquaculture Village in Yenegwe, Yenagoa Local Government Area of the state.
The NDDC Executive Director, Projects, Victor Antai, stated this when he visited the Bayelsa State-owned aquaculture farm, currently operated by Aquaseas Company Limited, accompanied by the NDDC Director Agric and Fisheries, Mrs Winifred Madume; the Director, Procurement, Dr Week Doodei and other directors of the Commission.
This was contained in a statement issued in Port Harcourt by the NDDC Director, Corporate Affairs, Pius Ughakpoteni, on Saturday.
Incidentally, Doodei was the state Commissioner for Agriculture when the facility was built.  




Antai said: “We decided to take a look at this facility and see how best we can incorporate it into the NDDC Holistic Opportunities, Projects and Engagement, HOPE, programme, which has agriculture as its key component.
“The Project HOPE initiative seeks to engage youths of the region by creating employment opportunities for them. We have collated the data of the youth in the region and many of them are interested in agriculture.
“The NDDC is resolute in the quest to provide food security in the Niger Delta region and we need to engage the youth in agriculture to achieve this goal.”      
The NDDC Executive Director, Projects said he was impressed with the facilities at the Aquaculture Village, noting that the farm boasts of a hatchery, earth ponds, and feed mill, as well as fish processing and packaging units.  Related News   
He added, “We have discussed the possibility of bringing our youths from the nine states of the Niger Delta to train in the farm. After the training, ponds will be allocated to each of the trainees so they can put what they learnt into practice and start their business here first, before moving back to their various states.”
Antai said that the NDDC would go into a tripartite partnership with the necessary stakeholders, saying, “We will interface with the Bayelsa State Government and also discuss with the company. Then the three parties will sit down to discuss how to explore the best partnership that will favour the youths of the Niger Delta region.”
Antai recalled that the NDDC recently entered into a partnership with the Rice Farmers Association of Nigeria, RIFAN, as part of its efforts to ensure food security in the Niger Delta region.
Earlier, the Managing Director of Aquaseas Company Limited,. Steve Okeleji, said the aquaculture village, sited on a 127-hectare land, had 500 fish ponds, 60 of which were currently stocked with catfish and tilapia.
He regretted that the farm was underutilised.
He stated, “The arrangement we have with the state government, is to have a social enterprise model, where the government will bring in the beneficiaries to be trained and also support them with inputs, while we provide the requisite knowledge and expertise to ensure that the project succeeds.
“We want NDDC to collaborate with us in the area of capacity building, especially for the youths in the Niger Delta region.”        
Giving more insights, the Aquaseas Programmes and Project Lead, Mr. Olalekan Adeleke, stated that the Bayelsa Aquaculture Village was a fully integrated facility, with a hatchery, a dry chain processing unit, a feed mill and a testing laboratory.
He added, “We have trained about 2,000 youths sponsored by the Bayelsa State Government. We have also collaborated with the Livelihood Improvement Family Enterprise in the Niger Delta, LIFE-ND, funded by the International Fund for Agriculture Development, the Federal Government and the NDDC in training 900 youths.",https://cdn.punchng.com/wp-content/uploads/2024/03/23145051/Victor-Antai.jpg
news,Nigeria mourns victims of Moscow attack,"Nigeria, on Saturday, commiserated with the people and Government of the Russian Federation following Friday’s terrorist attack in Moscow. Gunmen in camouflage clothing opened fire on people at a co...",23rd March 2024,https://punchng.com/nigeria-mourns-victims-of-moscow-attack/,Gift Habib,"Nigeria, on Saturday, commiserated with the people and Government of the Russian Federation following Friday’s terrorist attack in Moscow.
Gunmen in camouflage clothing opened fire on people at a concert in the Crocus City Hall near Moscow, the Russian capital, on Friday.
The number of deaths, including children in the terrorist attack at Crocus City Hall in Moscow, has reached 115, as reported by Al Jazeera.
It was gathered from several Russian media outlets that automatic weapons were used in what many have termed ‘one of the worst of attacks in Russia in years’.  




Reacting, the Minister of Foreign Affairs, Yusuf Tuggar, in a statement, sent Nigeria’s sympathy and condolences to the Russian president, Vladimir Putin.  Related News  US issues red alert as gunmen kill 40 in Moscow  Five things to know about Russia's presidential election  Nigeria independent-minded, says Tuggar in Russia   
“We convey our deepest condolences to the people and Government of the Russian Federation on the tragic attack carried out at the Crocus Concert Hall in Moscow that resulted in the death of innocent people and injuries to more than a hundred others.
“The Government and people of Nigeria commiserate with the victims of this tragic attack and pray for the repose of their souls.      
“We also pray for the quick recovery of those injured.
“At this challenging time, we stand in brotherhood with the government and Russian Federation and send our deepest sympathy and condolences to the Russian president, His Excellency Vladimir Putin,” he said.",https://cdn.punchng.com/wp-content/uploads/2024/03/23125410/Yusuf-Tuggar-4.jpeg
news,"Clergy forum seeks justice for slain Taraba pastor, nine others","The Clergy of Tiv Extraction Forum in Bali and Gashaka Local Government Areas of Taraba State has called for the arrest and prosecution of the killers of Pastor Jacob Abah, his wife, son, and seven ot...",23rd March 2024,https://punchng.com/clergy-forum-seeks-justice-for-slain-taraba-pastor-nine-others/,Justin Tyopuusu,"The Clergy of Tiv Extraction Forum in Bali and Gashaka Local Government Areas of Taraba State has called for the arrest and prosecution of the killers of Pastor Jacob Abah, his wife, son, and seven others during a bus attack in Donga Local Government Area of the state last week.
Addressing a press conference in Jalingo on Saturday, the leader of the forum, Nathaniel Saawua said, aside from those who were killed, those who sustained injuries in the attack have been left to foot their bills as no government official has either visited them in the hospital or contacted their families.
Saawua lamented the continuous silence of the government over the issue.
He said, “It is with a heavy heart that we come forward to address you today on the developments that followed the recent gruesome and barbaric murder of Rev. Abah Jacob and his wife, Marian Abah alongside several other persons by Ichen Militia on Wednesday, March 13, 2024 at Mararaba in Donga Local Government Area of Taraba State.  




“Rev. Abah Jacob, until his murder, was a pastor with The African Church, Kyado Archdeaconry, posted to The African Church Adi Parish in Bali Local Government Area of Taraba State. But since the gruesome murder, it appears to us that nobody is bothered because no one family of the victims has been contacted by the authorities and no official visitation to the families by any government official from Bali or Donga local government Councils.  Related News  Seven bodies recovered, eight missing after Taraba bus attack  Lassa fever kills 19 in Taraba  Troops kill three bandits, recover weapons in Taraba    
“It is most pathetic to know that those who sustained injuries but divinely escaped were admitted at the General Hospital Bali. One person has so far died in the hospital, and some of them have little or nothing to foot the bills of the treatments they are receiving. This is even as some have resigned to fate as they have nothing that will sustain their stay at the hospital
“While we draw the attention of the authorities’ concern to this pathetic and unfortunate situation, we want to call on spirited individuals who are touched by this incidence to come to the aid of these victims and the bereaved by providing succour to them to alleviate some of their physical and emotional pains.”      
While commending the efforts of the police in Bali Division who assisted in the evacuation of the corpses of the victims who were ambushed and murdered between Gankwe and Mararaba in Donga Local Government for burial, the forum appealed for a full investigation into the murder of the commuters.
Efforts to get the reaction of the state Commissioner for Information and Reorientation, Zainab Jalingo, over the allegation of government neglect of the victims, failed as her line was not reachable at the time of filing this report.
The state governor, Agbu Kefas, in the wake of the attack last week through the Commissioner for Information and Reorientation, condemned the attack and ordered a full investigation into the attack.",https://cdn.punchng.com/wp-content/uploads/2023/06/20104122/Agbu-Kefas.jpeg
news,"Soldiers rescue 16 abducted Sokoto children, woman",The Defence Headquarters said troops of Operation Hadrin Daji have rescued 16 Almajiris and a woman abducted in Gada Local Government Aera of Sokoto State. The PUNCH reports that some terrorists had i...,23rd March 2024,https://punchng.com/soldiers-rescue-16-abducted-sokoto-children-woman/,Solomon Odeniyi,"The Defence Headquarters said troops of Operation Hadrin Daji have rescued 16 Almajiris and a woman abducted in Gada Local Government Aera of Sokoto State.
The PUNCH reports that some terrorists had invaded the LGA on March 9, 2024, and kidnapped the victims.
The DHQ, in a statement on Saturday, by the Director of Media Operations, Maj. Gen Buba Edward, said the troops with local authorities and government agencies worked together to ensure the freedom of the hostages.
He noted that the rescued victims had been handed over to the Sokoto state government.
The statement read, “Recall terrorists invaded and kidnapped 16 pupils (Almajiris) with a woman in Gada LGA of Sokoto State.  




“On 21 March 2024, the military, working with local authorities and government agencies across the country, in a coordinated search and rescue operation rescued these hostages.
“The rescued hostages have been handed over to the Sokoto State Government for further action. ”
Edward, however, said the military had extended its resources to find and rescue kidnapped victims in the country.        Related News  Soldiers kill five terrorists in Borno villages  Okuama: Beyond the talk of reprisals  Kidnap attempt: Soldier, accomplice arrested after PUNCH report   
He vowed that the military would not rest on its oars until terrorists and other non-state actors abducting citizens are brought to book.
Edward said, “Additionally, the armed forces are extending all of its efforts and resources to find other innocent hostages and track down the terrorists that perpetrated these crimes.
“These efforts would continue until they are found and the terrorists arrested, tried, and brought to justice by Nigerian law. The military would not rest until all kidnapped hostages are rescued.”
Edward also noted that troops would deploy the same efforts to fish out those behind the death of its personnel in Delta State.
He said, ” Furthermore, troops are deploying the same effort to track down the culprits responsible for the killings of 18 soldiers in Okuama Community in Delta State on 14 March 2024.”
He said the banner of wanted persons would be deployed in strategic locations.
He said, ” Indeed, to curb the freedom of action of terrorists and the perpetrators of insecurity across the country, the military has released banners of wanted terrorist and their cohorts.
“The banners would be deployed in strategic areas across the country. The deployment of the banner is for ease of recognition and arrest of the wanted persons. The public is urged to cooperate and report, please.”",https://cdn.punchng.com/wp-content/uploads/2024/03/14170422/WhatsApp-Image-2024-03-14-at-4.01.59-PM.jpeg
